Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7230120547056598,0.7246858472816229,0.7042318843726607,0.7102759704962827
Naive Bayes,0.6633331531434131,0.6866008464585072,0.6304211552407302,0.6366699374807885
KNN,0.8521001135196498,0.8461272037343976,0.8527917225615029,0.8473440048754026
